"1_book" "10_book" "11_book" "12_book" "13_book" "14_book" "15_book" "16_book" "17_book" "18_book" "19_book" "2_book" "20_book" "21_book" "22_book" "23_book" "24_book" "25_book" "26_book" "27_book" "28_book" "29_book" "3_book" "30_book" "31_book" "32_book" "33_book" "34_book" "35_book" "36_book" "37_book" "38_book" "39_book" "4_book" "40_book" "41_book" "42_book" "43_book" "44_book" "45_book" "46_book" "47_book" "48_book" "49_book" "5_book" "50_book" "51_book" "52_book" "53_book" "54_book" "55_book" "56_book" "57_book" "58_book" "59_book" "6_book" "60_book" "61_book" "62_book" "63_book" "64_book" "65_book" "66_book" "7_book" "8_book" "9_book" "b_book"
"i" 1.25761394664986 1.13255237447139 0.848260242948322 0.600317310578449 0.35740878629933 0.329380764163373 0.352446794089738 1.07783288821061 0.350754121360926 1.82315904735834 1.82461623310966 0.842242665340627 0.436363636363636 1.55384890158957 2.16660440791931 1.39999454193161 1.73270842209913 0.818474130371237 1.93902997608021 0.95849379546427 2.31749710312862 1.10998990918264 0.545530843474612 2.18592361277925 0.463678516228748 1.5993907083016 1.73299101412067 1.05519480519481 0.902777777777778 2.00250312891114 1.92483959670027 2.02467573552673 1.85078079814922 0.493272142611845 0.878839590443686 0.636814586405684 0.87210434105509 2.2005146788509 0.882583412380913 1.2867840945048 2.20095693779904 2.77237354085603 2.30326295585413 0.488599348534202 0.79779622209502 2.91349170775437 0.80040020010005 0.272182906913446 0.285714285714286 1.00832967996493 1.55860349127182 0.668896321070234 3.65296803652968 0.625889046941679 0.130321459600348 0.380004281738386 0.248036378668871 0.45425048669695 0.604351329572925 2.67558528428094 3.34448160535117 0.476947535771065 1.4003294892916 0.817409766454352 1.30796670630202 1.04309303262183 0
"a" 0.966183574879227 0.850629465804695 0.786493720403541 0.724668753483984 0.555969223132291 0.589010307680384 1.13867425782839 0.629530713468142 0.631357418449667 1.19901450862305 1.17887673499403 1.28356539035306 3.27933884297521 2.28612252187891 1.8304071722077 1.49823977294436 1.05335416370781 0.906167787196726 1.18326632398595 1.06118955926401 1.35187331015836 1.66498486377397 1.7163239613932 1.34518376171031 0.463678516228748 1.21858339680122 1.37997432605905 0.730519480519481 0.763888888888889 1.75219023779725 0.824931255728689 0.901613413476748 1.27241179872759 1.40801098935406 1.06655290102389 1.09263976404344 1.30815651158264 0.861299301507274 1.13416092712501 0.70667651091657 1.26528442317916 1.02140077821012 1.15163147792706 0.456026058631922 0.990984544934173 0.627521290900941 0.850425212606303 0.598802395209581 0.380952380952381 1.62209557211749 1.05985037406484 0.780379041248606 2.05479452054795 1.63584637268848 1.82450043440487 0.454934703489617 1.61223646134766 1.10317975340688 0.40290088638195 0.668896321070234 0.334448160535117 0.476947535771065 1.62273476112026 0.875796178343949 1.03051922314705 0.930326218284333 0
"his" 1.65406427221172 1.20546347154037 1.2970969734404 1.45362548775781 1.69272772400099 1.33302332790824 0.555781482987664 0.467378863029378 1.12241318835496 1.76840952641664 1.40867726813126 0.829811039283938 1.75867768595041 1.14306126093945 1.30743369443407 0.916955489452283 0.655683378308005 1.05232388190588 0.475851188355641 1.47197261446299 0.733874082657397 0.65590312815338 1.44775493075955 0.624549603651213 1.08191653786708 0.837776085300838 0.770218228498074 1.37987012987013 1.73611111111111 0.500625782227785 0.366636113657195 0.885795634292945 1.04106419895894 0.761762043020824 1.01535836177474 0.97198015819815 0.883784309908507 0.887558426553227 0.614509011424094 0.611749815420314 0.404040404040404 0.340466926070039 0.351887396033269 1.04234527687296 1.05538065254722 0.403406544150605 0.600300150075038 0.435492651061513 0.571428571428571 0.350723366944323 0.561097256857855 0.668896321070234 0.228310502283105 0.782361308677098 0.695047784535187 0.315778205951616 0.454733360892931 0.843608046722907 1.73247381144239 0.668896321070234 0.334448160535117 0.317965023847377 1.00494233937397 1.18895966029724 0.990883868410622 1.4216673378977 0
"they" 0.695757193866835 0.646478394011569 0.621782993617459 1.02911538956305 0.551005212211467 1.09664419127335 0.786227463738647 1.05875619992369 0.631357418449667 0.985491376950452 1.10763856972148 0.848458478368971 0.337190082644628 0.535809966065369 0.298841987299216 1.00974265207543 1.25692373242437 1.49079216603332 1.37920504860298 0.581942661531878 2.20162224797219 0.958627648839556 0.495174150230802 0.91280326687485 1.54559505409583 0.913937547600914 1.09114249037227 1.2987012987013 0.486111111111111 1.06382978723404 0.183318056828598 0.996520088579563 0.462695199537305 1.05210577253286 1.29266211604096 2.01099343075479 1.35876970994744 1.13964602699438 1.70742772301728 0.653939457863095 0.49973418394471 0.324254215304799 0.767754318618042 0.0325732899022801 0.475815684029765 0.179291797400269 0.200100050025012 0.381056069678824 0.571428571428571 1.00832967996493 0.498753117206983 1.2263099219621 0 0.810810810810811 0.173761946133797 1.04902590451723 0.454733360892931 0.9085009733939 0.40290088638195 0.668896321070234 0.334448160535117 1.58982511923688 0.947281713344316 1.24734607218684 0.832342449464923 0.861860652436569 0
"is" 0.735139676538542 0.607592475574782 0.469425571340334 0.501693752411989 0.287912633407793 0.306130357281252 0.704893588179477 0.295688668447158 0.561206594177482 1.58226115521489 1.21334681496461 0.475509696668324 3.02809917355372 3.23272012859439 2.42809114680613 1.10798788308818 0.871088387066231 1.75387313650979 0.534378339864624 0.61617458279846 1.27462340672074 1.2108980827447 1.26731011330256 0.768676435263031 0.618238021638331 0.837776085300838 1.21951219512195 2.19155844155844 1.25 1.00125156445557 1.28322639780018 0.727617842454919 1.04106419895894 0.446442508819581 1.22866894197952 1.0189033382491 0.981117383686977 1.17640880205872 0.536148801913639 2.08838730091762 2.2434875066454 1.32944228274968 1.56749840051184 1.33550488599349 0.719089868345736 1.07575078440161 1.45072536268134 0.707675557974959 1.04761904761905 1.62209557211749 1.24688279301746 1.00334448160535 0.91324200913242 1.40825035561878 2.21546481320591 0.465639049454078 1.28152128978917 0.973393900064893 3.82755842062853 1.00334448160535 1.33779264214047 0.158982511923688 0.922570016474465 0.435244161358811 0.713436385255648 0.688683044703987 0
"jehovah" 0.430581810544003 0.719389491080543 1.05826641960058 1.18348269799751 0.86373790022338 1.48415097264202 0.501558899281551 0.162151850438764 0 0.175198467013414 1.6798418972332 1.21829935355544 0.568595041322314 0 0.0373552484124019 1.22260731926971 1.67589830989916 0.876936568254896 1.09420326734185 0.0599058622165169 0.888373889532638 1.61453077699294 1.29248845992447 1.92169108815758 0.927357032457496 1.98019801980198 1.21951219512195 1.05519480519481 0.833333333333333 1.87734668335419 2.84142988084326 2.08794685226194 2.71833429728167 1.1957166494958 0 0 0 0 0 0 0 0 0 0 1.960503720664 0 0 0 0 0 0 0 0 0 0 1.18818240205523 0 0 0 0 0 0 0 0.918259023354565 0.713436385255648 1.24446234393878 0
"him" 1.06857802982567 1.27351382880474 1.1076796376364 1.18348269799751 0.471581037478282 0.957141749980625 0.393113731869324 0.410148798168638 0.894423009470361 1.1552148918697 0.622759444801912 0.45375435106912 0.714049586776859 0.6786926236828 0.747104968248039 0.428458368583358 0.421341665483123 0.350774627301959 0.241742582319711 0.693196405648267 0.52143684820394 0.100908173562059 0.738564834242551 0.360317079029546 0.154559505409583 0.761614623000762 0.256739409499358 0.324675324675325 1.11111111111111 0.187734668335419 0.0916590284142988 0.395444479595065 0.75187969924812 0.421466704130374 1.57423208191126 2.57407159136613 1.88047498540004 2.16375190378657 1.33212356167773 0.6433920472524 0.467836257309941 0.340466926070039 0.415866922584773 0.749185667752443 0.611763022323984 0.582698341550874 1.10055027513757 0.108873162765378 0.571428571428571 0.131521262604121 0.748129675810474 0.111482720178372 0.45662100456621 0.739687055476529 0.955690703735882 0.34253907086277 0.826787928896238 0.324464633354964 2.13537469782434 1.00334448160535 0 0.476947535771065 0.724876441515651 1.08811040339703 0.237812128418549 1.17196939186468 0
"not" 0.603864734299517 0.617313955183979 0.597076384599547 0.711804811114446 0.218416480516257 0.52313415484771 0.284668564457096 0.524608927890118 0.47351806383725 1.29208869422393 0.880136041915617 0.624689209348583 1.30909090909091 1.25022325415253 0.373552484124019 0.963349070763857 1.0083794915495 0.935399006138556 0.544556974909665 0.564826700898588 1.02356122054847 0.504540867810293 0.856063785144776 1.39322603891424 1.70015455950541 0.837776085300838 0.930680359435173 0.324675324675325 1.25 1.00125156445557 0.641613198900092 0.616893388168301 1.15673799884326 0.44332053323343 1.10068259385666 0.925056978147205 0.953864123029005 1.57029567774802 0.544397245020003 1.66649087648982 2.17969165337586 1.89688715953307 1.43953934740883 0.684039087947883 1.17344018317115 0.717167189601076 0.750375187593797 1.30647795318454 1.71428571428571 1.13985094256905 0.872817955112219 1.44927536231884 0.45662100456621 1.36557610241821 1.95482189400521 0.422821665596232 1.07482430756511 0.778715120051914 2.21595487510073 3.01003344481605 1.33779264214047 0.794912559618442 0.469522240527183 0.700636942675159 0.951248513674197 0.781312927909787 0
"be" 0.645872715816005 0.52982063870121 0.36236359892938 0.313022597658763 0.372300819061802 0.360381306672867 0.610004066693778 0.295688668447158 0.789196773062083 0.854092526690391 0.887030057909734 0.935479860765788 1.15702479338843 1.1073405965351 0.448262980948823 1.44093005485359 0.821379538891256 0.350774627301959 0.987327599368925 1.10397946084724 1.00424874468907 0.857719475277497 2.14435585396559 0.672591880855153 1.70015455950541 0.761614623000762 1.21951219512195 0.649350649350649 0.763888888888889 1.43929912390488 0.73327222731439 1.51850680164505 0.983227299016773 0.824201554743842 1.00255972696246 0.650221209277383 0.87210434105509 0.483167900845544 0.49490658638182 1.21295222022993 1.14832535885167 1.19974059662776 1.34357005758157 1.20521172638436 0.926588437321122 1.43433437920215 0.750375187593797 0.870985302123027 1.9047619047619 1.70977641385357 1.12219451371571 2.56410256410256 0.684931506849315 0.668563300142248 1.25977410947003 0.369299935773924 1.48821827201323 1.16807268007787 0.40290088638195 1.00334448160535 1.00334448160535 0.476947535771065 0.535420098846787 0.355626326963907 0.832342449464923 0.543697140555779 0
"them" 0.611741230833858 0.476352500850629 0.444718962322421 0.767548561382445 0.45668900471581 0.833139579942649 0.799783109665176 1.29721480351011 0.683970536653806 0.344921981932658 0.932990164537182 0.839134758826454 0.423140495867769 0.375066976245758 0.149420993649608 0.706819856452801 1.08649339582446 0.496930722011108 1.08147997353555 0.453572956782199 1.56431054461182 0.857719475277497 0.63365505665128 0.696613019457122 0.463678516228748 1.06626047220107 0.738125802310655 0.487012987012987 0.625 0.938673341677096 0.0916590284142988 0.838342296741537 0.578368999421631 0.970934407292935 1.07935153583618 1.55516825311704 1.14463694763481 0.924321201617562 1.2950055676991 0.601202404809619 0.478468899521531 0.389105058365759 0.479846449136276 0.390879478827362 0.897967945048655 0.134468848050202 0.450225112556278 0.489929232444203 0.761904761904762 0.832967996492766 0.623441396508728 0.668896321070234 0 0.825035561877667 0.434404865334492 1.06508242346393 0.330715171558495 1.16807268007787 0.16116035455278 0.334448160535117 1.67224080267559 0.794912559618442 0.741350906095552 1.01380042462845 0.317082837891399 0.604107933950866 0
